区名,外国人男,外国人女,計,外国人を含む世帯数
北区,2126,2398,4524,3468
都島区,1339,1408,2747,2070
福島区,560,715,1275,973
此花区,767,867,1634,1166
中央区,3147,4453,7600,6019
西区,1698,1933,3631,2939
港区,1256,1207,2463,1812
大正区,646,633,1279,963
天王寺区,1805,2287,4092,2868
浪速区,3349,3690,7039,5622
西淀川区,1538,1636,3174,2138
淀川区,2567,2968,5535,4265
東淀川区,2937,3085,6022,4606
東成区,3107,3610,6717,4417
生野区,12959,14392,27351,17194
旭区,987,1034,2021,1542
城東区,2310,2569,4879,3613
鶴見区,912,1012,1924,1342
阿倍野区,1223,1237,2460,1920
住之江区,1408,1675,3083,2205
住吉区,1714,1869,3583,2595
東住吉区,1503,1574,3077,2281
平野区,3767,3974,7741,5140
西成区,3799,3423,7222,5529
合計,57424,63649,121073,86687
