業種,施設名称,施設所在地,緯度,経度
旅館業,ＩＮＯＶＥ　ＶＩＬＬＡ　ＯＳＡＫＡ,大阪府大阪市北区松ヶ枝町４番２０号アビスビル５階,34.69899856,135.5164057
旅館業,ＩＮＯＶＥ　ＶＩＬＬＡ　　ＯＳＡＫＡ,大阪府大阪市北区松ヶ枝町４番２０号アビスビル６階,34.69899856,135.5164057
旅館業,Ｈｏｓｔｅｌ　ＯＳＡＫＡ,大阪府大阪市北区松ヶ枝町６番２３号,34.69849497,135.5155158
旅館業,アンピールホテル大阪,大阪府大阪市北区神山町１１番１２号,34.70362706,135.5060389
旅館業,セミナーハウス　クロス・ウェーブ梅田,大阪府大阪市北区神山町１番１２号,34.70252867,135.5063617
特区民泊,Ｗｉｎｇｓ　Ｌｏｄｇｅ,大阪府大阪市北区神山町６番８号,34.70282226,135.5055021
旅館業,ホテルウィングインターナショナルセレクト大阪梅田,大阪府大阪市北区神山町８番４号,34.70246613,135.5049376
特区民泊,Ａｐａｒｔｍｅｎｔ　Ｈｏｔｅｌ　１１　東梅田店,大阪府大阪市北区神山町９番２８号コンフォリア・リヴ梅田ＥＡＳＴソルテラス　２－１２階,34.70329798,135.5054417
旅館業,Ａｐａｒｔｍｅｎｔ　Ｈｏｔｅｌ　１１　Ｈｉｇａｓｈｉｕｍｅｄａ,大阪府大阪市北区神山町９番２８号コンフォリア・リヴ梅田ＥＡＳＴソルテラス　２階,34.70329798,135.5054417
特区民泊,住一　梅田神山店,大阪府大阪市北区神山町９番６号ＮＬＣ東梅田,34.70314177,135.5048864
旅館業,住一　梅田神山店,大阪府大阪市北区神山町９番６号ＮＬＣ東梅田２－４階,34.70314177,135.5048864
特区民泊,青空の境地,大阪府大阪市北区菅栄町１０番２４号,34.70883384,135.5133965
特区民泊,音太小屋・ＮＥＴＡＧＯＹＡ,大阪府大阪市北区菅栄町３番１５号,34.70913664,135.5150078
特区民泊,初心之屋　天川ＩＮＮ梅田東　２０２,大阪府大阪市北区菅栄町５番１１‐２０２号,34.70943788,135.5141809
特区民泊,青空の境地　４０１　５０３,大阪府大阪市北区菅栄町５番１１号天川ＩＮＮ梅田東　４０１・５０３,34.70943788,135.5141809
特区民泊,Ｃｒｏｓｓａ　Ｖｉｌｌａｇｅ　ＵＭＥＤＡ　４０２,大阪府大阪市北区菅栄町５番１１号天川ＩＮＮ梅田東　４０２号室,34.70943788,135.5141809
特区民泊,青空の境地５０１　６０１　６０３,大阪府大阪市北区菅栄町５番１１号天川ＩＮＮ梅田東　５０１　６０１　６０３,34.70943788,135.5141809
特区民泊,天川ＩＮＮ梅田東,大阪府大阪市北区菅栄町５番１１号天川ＩＮＮ梅田東２０１，２０２，２０３，３０２，３０３，６０２,34.70943788,135.5141809
特区民泊,初心之屋　天川ＩＮＮ梅田東　７０１・７０２・７０３,大阪府大阪市北区菅栄町５番１１号天川ＩＮＮ梅田東７０１．７０２．７０３号室,34.70943788,135.5141809
特区民泊,月の宿　Ｇｕｅｓｔｈｏｕｓｅ　Ｍｏｏｎ－天神橋　,大阪府大阪市北区菅栄町５番７号,34.70908137,135.5141468
住宅宿泊事業,ー,大阪府大阪市北区菅原町１０－３３－６０２,34.6935887,135.5113269
住宅宿泊事業,ー,大阪府大阪市北区菅原町１０－３３－７０２,34.6935887,135.5113269
特区民泊,Ｏｒｉｚｕｒｕ　Ｋｉｔｃｈｅｎ　Ａｐａｒｔｍｅｎｔ　大阪天満宮,大阪府大阪市北区菅原町１０番３３号アリスシアターシップ　１０１号室、２０２号室,34.6935887,135.5113269
特区民泊,Ｓｕｉｓｅｉ　Ｓｔａｙ　Ｋｉｔａｓｈｉｎｃｈｉ,大阪府大阪市北区西天満２丁目７番２２号サンシステム北新地ビル　２０１号室,34.6961745,135.5018359
旅館業,ホテルアインズ・イン梅田東,大阪府大阪市北区西天満３丁目１３番１５号,34.69761789,135.5069946
旅館業,ホテル　イル　グランデ　梅田,大阪府大阪市北区西天満３丁目５番２３号,34.69748717,135.5087388
旅館業,ドーミー南森町,大阪府大阪市北区西天満３丁目５番３５号,34.69677804,135.5091831
旅館業,プラザ梅新　大阪　♯１８,大阪府大阪市北区西天満４－１５－１８　１００３号室プラザ梅新　１０階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　♯１５,大阪府大阪市北区西天満４－１５－１８　６１４号室プラザ梅新　６階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　♯１６,大阪府大阪市北区西天満４－１５－１８　６１５号室プラザ梅新　６階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　♯１７,大阪府大阪市北区西天満４－１５－１８　８１７号室プラザ梅新　８階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　＃８,大阪府大阪市北区西天満４－１５－１８－１２０２号室プラザ梅新　１２階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　＃１３,大阪府大阪市北区西天満４－１５－１８－１２０５号室プラザ梅新　１２階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　＃４,大阪府大阪市北区西天満４－１５－１８－１２０６号室プラザ梅新　１２階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　＃１４,大阪府大阪市北区西天満４－１５－１８－１２１４号室プラザ梅新　１２階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　＃６,大阪府大阪市北区西天満４－１５－１８－１５０４号室プラザ梅新　１５階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　＃９,大阪府大阪市北区西天満４－１５－１８－１５１３号室プラザ梅新　１５階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　＃１２,大阪府大阪市北区西天満４－１５－１８－８０５号室プラザ梅新　８階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　♯１,大阪府大阪市北区西天満４－１５－１８－８０８号室プラザ梅新　８階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　♯２,大阪府大阪市北区西天満４－１５－１８－８０９号室プラザ梅新　８階,34.69797943,135.5017197
旅館業,プラザ梅新　大阪　♯７,大阪府大阪市北区西天満４－１５－１８－８１４号室プラザ梅新　８階,34.69797943,135.5017197
特区民泊,Ｒｅｌａｔ　Ｍｉｎｐａｋｕ,大阪府大阪市北区西天満４丁目１２番１２号シーサーＸ（２０１．３０１．３０２．４０１．４０２．５０１．５０２．５０３．６０１．６０２．７０２．７０３．８０１．８０３．９０２．１００２．１００３号室）,34.69719931,135.5019873
旅館業,ホテル　ギャラリエ,大阪府大阪市北区西天満４丁目１２番２０号,34.69729501,135.5026542
旅館業,プラザ梅新　大阪　♯３,大阪府大阪市北区西天満４丁目１５番１８号プラザ梅新　８１０号室,34.69797943,135.5017197
旅館業,ホテルプラザ梅新北新地,大阪府大阪市北区西天満４丁目１５番１８号プラザ梅新ビル614、615、805、808、809、803、810、814、815、816、817、1003、1005、1202、1205、1206、1210、1214、1306、1406、1503、1504、1505、1507、1508、1513、1515号室,34.69797943,135.5017197
特区民泊,中吉　Ｓｔａｙ　Ｒｉｖｅｒｓｉｄｅ,大阪府大阪市北区西天満４丁目２番１８号中澤マンション２０１．３０１．４０１号室,34.69649391,135.5060436
旅館業,Ｋｉｔａｓｈｉｎｃｈｉ　Ａｐａｒｔｍｅｎｔ,大阪府大阪市北区西天満４丁目５番１号ジャスティス４５１　４階,34.6966405,135.5052674
旅館業,ゲストハウス西天満,大阪府大阪市北区西天満４丁目８番９号,34.69739957,135.5040144
特区民泊,Ｙ＇ｓマンション西天満,大阪府大阪市北区西天満５丁目１６番１２号さとうマンション２０１．２０２．２０３．４０２．５０１．５０２．５０４,34.69836727,135.5065787
特区民泊,タスワンヴィラ西天満,大阪府大阪市北区西天満５丁目２番１０号森島ビル,34.6986794,135.5084908
旅館業,東横イン大阪梅田東,大阪府大阪市北区西天満５丁目３番２５号,34.69906208,135.5091121
旅館業,Ｏｓａｋａ　ｇｕｅｓｔｈｏｕｓｅ　桜,大阪府大阪市北区西天満６丁目３番５号,34.6989709,135.5054779
特区民泊,アーバンリゾート東梅田　Ｕｒｂａｎ　Ｒｅｓｏｒｔ　Ｈｉｇａｓｈｉ－ｕｍｅｄａ,大阪府大阪市北区西天満６丁目５番４号,34.698968,135.504866
特区民泊,ＴａｓｏｎｅＧａｔｈｅｒｉｎｇＳｔａｙＯｓａｋａ　梅田東村上３Ｆ,大阪府大阪市北区西天満６丁目６番２号村上ビル３Ｆ,34.69850934,135.5051392
特区民泊,ＴａｓｏｎｅＧａｔｈｅｒｉｎｇＳｔａｙＯｓａｋａ　梅田東村上４Ｆ,大阪府大阪市北区西天満６丁目６番２号村上ビル４Ｆ,34.69850934,135.5051392
旅館業,ホテルリブマックス梅田ＷＥＳＴ,大阪府大阪市北区西天満６丁目９番１４号,34.69968102,135.5045156
旅館業,個室サウナとと　東梅田店,大阪府大阪市北区西天満６丁目９番１７号西天満センター２階,34.69943118,135.5045637
旅館業,ＣＡＮＤＹ　ＢＯＸ,大阪府大阪市北区西天満６丁目９番８号,34.69940164,135.5041928
旅館業,ホテル　ヴィラフォンテーヌグランド大阪梅田,大阪府大阪市北区曾根崎２丁目１５番９号,34.70117356,135.5008535
旅館業,アパホテル＆リゾート　〈大阪梅田駅タワー〉　,大阪府大阪市北区曾根崎２丁目８番３２号,34.69992165,135.5017629
住宅宿泊事業,ー,大阪府大阪市北区曽根崎１－６－３,34.6989587,135.5037935
旅館業,ホテル　エルシエント大阪梅田,大阪府大阪市北区曽根崎１丁目２番７号,34.69826356,135.5027239
旅館業,ＨＯＴＥＬ　ＬｉＶＥＭＡＸ　梅田セントラル,大阪府大阪市北区曽根崎１丁目５番２３号,34.69895947,135.5034275
旅館業,ワシントンＲ＆Ｂホテル梅田東,大阪府大阪市北区曽根崎１丁目６番１５号,34.69962091,135.5038326
旅館業,ホテル　スマート,大阪府大阪市北区曽根崎１丁目６番２２号,34.69919536,135.504072
旅館業,ホテル　ＡＩ（アイ）,大阪府大阪市北区曽根崎１丁目６番２２号,34.69919536,135.504072
旅館業,ＲＥ　ＨＯＴＥＬ　梅田,大阪府大阪市北区曽根崎１丁目７番１８号,34.69959901,135.5032645
旅館業,ホテル　ドンルクール　大阪梅田,大阪府大阪市北区曽根崎２丁目１５番２３号,34.7019048,135.5011366
旅館業,ホテル　サル・デ・バーン,大阪府大阪市北区曽根崎２丁目５番２６号,34.69955672,135.5015995
旅館業,ホテルアフリカ梅田,大阪府大阪市北区曽根崎２丁目５番３号,34.69873791,135.5010863
旅館業,お・や・ど　ＨＡＲＵＳ,大阪府大阪市北区曽根崎２丁目８番１５号Ｋ’Ｓスクエアビル　３階,34.70015215,135.5006062
旅館業,ホテルモントレ　ル・フレール大阪,大阪府大阪市北区曽根崎新地１丁目１２番８号,34.69805145,135.499496
旅館業,ホテルマイステイズプレミア堂島,大阪府大阪市北区曽根崎新地２丁目４番１号,34.69739215,135.4944605
旅館業,ＨＯＴＥＬ　ＣＥＥＤＳ,大阪府大阪市北区太融寺町４番１５号,34.7017219,135.503432
旅館業,太融寺　ホテル,大阪府大阪市北区太融寺町４番２号,34.70143836,135.5035042
旅館業,ＨＯＴＥＬ　ＰＬＡＴＯＮ,大阪府大阪市北区太融寺町４番２号ファビオ太融寺ビル,34.70143836,135.5035042
旅館業,ホテル　アメリカン,大阪府大阪市北区太融寺町６番４号ホテルアメリカン,34.70176752,135.5024607
旅館業,ホテル　カーサ　スワン,大阪府大阪市北区太融寺町７番６号,34.70163812,135.502509
旅館業,ホテル　フランチェスカ,大阪府大阪市北区太融寺町７番９号,34.70166397,135.5027684
旅館業,ＤＩＧＡ　ＤＩＧＡ　ＤＯＯ,大阪府大阪市北区太融寺町８番２３号,34.7015515,135.502442
旅館業,ホテル阪急レスパイア大阪,大阪府大阪市北区大深町１番１号ヨドバシ梅田タワー,34.70459246,135.4961509
旅館業,インターコンチネンタルホテル大阪,大阪府大阪市北区大深町３番６０号,34.70684869,135.4948083
旅館業,ウォルドーフ・アストリア大阪,大阪府大阪市北区大深町５番５４号グラングリーン大阪　南館　地下２階～３階、２８～３９階,34.70480699,135.4937036
旅館業,ホテル阪急グランレスパイア大阪,大阪府大阪市北区大深町５番５４号グラングリーン大阪南館,34.70480699,135.4937036
旅館業,キャノピーｂｙヒルトン大阪梅田　,大阪府大阪市北区大深町６番３８号グラングリーン大阪　北館　地下３階～地上１階　１０～２６階,34.70480699,135.4937036
旅館業,ソリッソ梅田,大阪府大阪市北区大淀中１丁目１２番１５号ソリッソ梅田　２階,34.70460675,135.4880558
特区民泊,ＢＩＪＯＵ　ＳＵＩＴＥＳ　ＳＯＲＲＩＳＯ,大阪府大阪市北区大淀中１丁目１２番１５号ソリッソ梅田２Ｆ～４Ｆ,34.70460675,135.4880558
旅館業,ウェスティンホテル大阪,大阪府大阪市北区大淀中１丁目１番２０号,34.70422076,135.4896257
旅館業,Ｒａｋｕｔｅｎ　ＳＴＡＹ　大阪駅北　,大阪府大阪市北区大淀中１丁目８番１６号,34.7062218,135.4884451
住宅宿泊事業,ー,大阪府大阪市北区大淀中２－６－１３,34.70398521,135.4854314
特区民泊,ミニョン　マッペ,大阪府大阪市北区大淀中２丁目１番２４号「ミニョン　マッペ」,34.70474375,135.4861005
特区民泊,ＭＡＴ　ＯＳＡＫＡ　新梅田セントラルヒルズ,大阪府大阪市北区大淀中２丁目８番６号新梅田セントラルヒルズ　２０１，２０２，３０１，３０３，４０１，４０２，４０３，６０２，６０３，７０１，９０１号室,34.70517347,135.4867255
特区民泊,ＩＮＴ　ＯＳＡＫＡ　新梅田セントラルヒルズ,大阪府大阪市北区大淀中２丁目８番６号新梅田セントラルヒルズ　２０３・５０２・６０１・８０２・９０２号室,34.70517347,135.4867255
住宅宿泊事業,ー,大阪府大阪市北区大淀中３－４－７,34.70362744,135.4836694
特区民泊,ＯｓａｋａＳｔａｙ　はるかずま大淀中,大阪府大阪市北区大淀中３丁目５番２１号サンビクトリーホールディングス　６階,34.70451764,135.4853927
特区民泊,ＭＡＴ　ＯＳＡＫＡ　Ｃｕｒａｓｉｏｎ大淀中,大阪府大阪市北区大淀中３丁目９番４号Ｃｕｒａｓｉｏｎ大淀中,34.70449327,135.4836605
特区民泊,Ｍａｉｄｏ　Ｈｏｕｓｅ,大阪府大阪市北区大淀中４丁目１５番９号北梅田ＣＨ邸　２階３階,34.70489152,135.4819437
特区民泊,Ｃｏｃｏｃａ　Ｏｓａｋａ　Ｕｍｅｄａ,大阪府大阪市北区大淀中５丁目２番９号,34.70251626,135.4809981
住宅宿泊事業,ー,大阪府大阪市北区大淀南１－９－１３コンフォリア新梅田２０１,34.70269262,135.4875236
住宅宿泊事業,ー,大阪府大阪市北区大淀南１－９－１３コンフォリア新梅田２０２,34.70269262,135.4875236
住宅宿泊事業,ー,大阪府大阪市北区大淀南１－９－１３コンフォリア新梅田２０３,34.70269262,135.4875236
住宅宿泊事業,ー,大阪府大阪市北区大淀南１－９－１３コンフォリア新梅田２０４,34.70269262,135.4875236
旅館業,ＭＡＭＢＯ　Ｉｎｎ,大阪府大阪市北区大淀南１丁目１番１４号シャングリ・ラ,34.70359676,135.490841
特区民泊,レジデンシャルホテル　スカイビル梅田(RESIDENTIAL HOTEL sky building HOUSE),大阪府大阪市北区大淀南１丁目４番１８号,34.70377502,135.4897454
特区民泊,未来荘,大阪府大阪市北区大淀南１丁目９番１９号エンパイアービル９－１０Ｆ,34.70320733,135.4876579
特区民泊,Ｕｍｅｄａ　Ｓｋｙ　Ｔｏｗｅｒ　２０３,大阪府大阪市北区大淀南２丁目７番２号セレブコート梅田２０３号室,34.7014222,135.4854492
特区民泊,Ｕｍｅｄａ　Ｓｋｙ　Ｔｏｗｅｒ　３０２,大阪府大阪市北区大淀南２丁目７番２号セレブコート梅田３０２号室,34.7014222,135.4854492
特区民泊,Ｕｍｅｄａ　Ｓｋｙ　Ｔｏｗｅｒ　８０２,大阪府大阪市北区大淀南２丁目７番２号セレブコート梅田８０２号室,34.7014222,135.4854492
特区民泊,初心之屋　１５号館,大阪府大阪市北区大淀南３丁目１０番１２号,34.70181995,135.4802625
特区民泊,むつみ庵　梅田北,大阪府大阪市北区大淀北１丁目１番４号グランディールハイツ２０２．３０６．４０２．６０３．７０６,34.70866093,135.4873045
特区民泊,ゲストハウス　サンマルコ,大阪府大阪市北区池田町１３番２号,34.70797638,135.5138439
特区民泊,レインボーコート青谷,大阪府大阪市北区池田町１４番１８号レインボーコート青谷１階　１０１号室,34.70798708,135.5131708
特区民泊,雪山民宿　ＹＵＫＩ　ＹＡＭＡ　ＨＯＴＥＬ,大阪府大阪市北区池田町１７番１５号作楽マンション　１０１・２０１・２０２・３０１・３０２・４０１・４０２,34.70829857,135.5127608
旅館業,ホテル阪急インターナショナル,大阪府大阪市北区茶屋町１９番１９号,34.7083078,135.4978259
旅館業,アルモニーアンブラッセ大阪,大阪府大阪市北区茶屋町７番２０号,34.70738344,135.5003178
住宅宿泊事業,ー,大阪府大阪市北区中崎１－１－２５,34.70590443,135.5067193
特区民泊,ＧＵＥＳＴ　ＨＯＵＳＥ　ＯＳＡＫＡ　ＮＡＫＡＺＡＫＩ,大阪府大阪市北区中崎１丁目１番２５号１～４階,34.70590443,135.5067193
特区民泊,Ｇｕｅｓｔ　Ｈｏｕｓｅ　Ｌｉｚ　Ｎａｋａｚａｋｉ－ｃｈｏ,大阪府大阪市北区中崎１丁目５番１３号ＮＩＬ中崎町ビル（２階、３階、４階、５階）,34.70674434,135.5052839
旅館業,Ｕｖｉｌｌａｇｅ,大阪府大阪市北区中崎１丁目６番１５号くさかビル３Ｆ、４Ｆ,34.70728119,135.5061969
特区民泊,Ａ－ｓｔａｙ　ｎｏｒｔｈ　ｈｏｍｅ,大阪府大阪市北区中崎２丁目１番１０号,34.70845389,135.5067278
特区民泊,愛ｈｏｕｓｅ,大阪府大阪市北区中崎２丁目１番１１号,34.70854321,135.5067314
特区民泊,Ｒｕｒｉ　瑠璃,大阪府大阪市北区中崎２丁目２番１７号,34.70857614,135.5063751
特区民泊,Ｙａｍａｓｈｉｎｓｏｕ　Ｕｍｅｄａ,大阪府大阪市北区中崎２丁目２番１７号,34.70857614,135.5063751
特区民泊,中崎町ギャラリー棗ゲストハウス梅田,大阪府大阪市北区中崎２丁目２番２５号　１階～２階,34.70837422,135.506672
旅館業,アセットマネジメント,大阪府大阪市北区中崎２丁目３番１８号,34.70871052,135.5060981
特区民泊,中崎ハウス（ＮＡＫＡＺＡＫＩ　ＨＯＵＳＥ）,大阪府大阪市北区中崎２丁目３番１９号２０１号室,34.7087087,135.5062035
特区民泊,梅田・悦舎,大阪府大阪市北区中崎２丁目７番１９号,34.70979793,135.5065751
特区民泊,千尋　ＣＨＩＨＩＲＯ,大阪府大阪市北区中崎３丁目２番１３号,34.70837767,135.5047797
特区民泊,ｅｎｉ．ｎａｋａｚａｋｉｃｈｏ,大阪府大阪市北区中崎３丁目２番２６号吉本電機ビル３，４階,34.70858753,135.5055712
特区民泊,市中山居１、２,大阪府大阪市北区中崎西１丁目１０番４号,34.70821623,135.5041855
特区民泊,逸居,大阪府大阪市北区中崎西１丁目１０番４号１～２Ｆ,34.70821623,135.5041855
旅館業,カプセルホテル　大東洋,大阪府大阪市北区中崎西２丁目１番９号,34.7051929,135.5029654
特区民泊,Ａｐａｒｔｍｅｎｔ　Ｈｏｔｅｌ　Ｓａｋｕｒａｙａ,大阪府大阪市北区中崎西２丁目３番２８号ヴェルデミキ　６０６,34.70650198,135.5030145
特区民泊,ＢＯＮ　Ｃｏｎｄｏｍｉｎｉｕｍ　Ｕｍｅｄａ,大阪府大阪市北区中崎西３丁目１番４号ＢＯＮコンドミニアム梅田　,34.7071492,135.5029031
特区民泊,Ｒｏｏｔｓ　Ｏｓａｋａ　Ｓｔａｔｉｏｎ,大阪府大阪市北区中崎西３丁目２番２１号,34.70844143,135.502796
特区民泊,スマイルステイ中崎西,大阪府大阪市北区中崎西３丁目２番２号,34.70825806,135.5032162
特区民泊,Ｎｙａ－Ｏｎ　Ｎａｋａｚａｋｉ,大阪府大阪市北区中崎西３丁目３番４号中崎西テナントビル　１，２階北号室,34.70759936,135.5019661
特区民泊,梅田トレインレジデンス,大阪府大阪市北区中崎西３丁目３番４号中崎西テナントビル　３Ｆ北,34.70759936,135.5019661
旅館業,御宿　ＮＡＫＡＺⅠ,大阪府大阪市北区中崎西４丁目１番１２号　１階,34.70880643,135.5037711
旅館業,御宿　ＮＡＫＡＺⅡ,大阪府大阪市北区中崎西４丁目１番１２号　２階,34.70880643,135.5037711
特区民泊,スマイルステイ中崎町２,大阪府大阪市北区中崎西４丁目１番１４号,34.70892458,135.5036252
特区民泊,ｎｉｄ　ＯＳＡＫＡ　ＵＭＥＤＡ,大阪府大阪市北区中津１丁目１０番１２号アトレ中津２Ｆ～４Ｆ,34.71116611,135.4955685
旅館業,中津ゲストハウス,大阪府大阪市北区中津１丁目１３番１０号,34.7120189,135.4973482
特区民泊,ＧＥＫＩＣＨＩＫＡ,大阪府大阪市北区中津１丁目１４番２号,34.71182667,135.4967774
特区民泊,Ｂａｔｏｎｓｈｉｐ　Ｉｎｎ　Ｏｓａｋａ　００５,大阪府大阪市北区中津１丁目１５番３４号,34.71208226,135.4966241
特区民泊,Ｂａｔｏｎｓｈｉｐ　Ｉｎｎ　Ｏｓａｋａ,大阪府大阪市北区中津１丁目１５番３５号（００４号）３６（００２号、００３号）、３７（００１号）,34.71204382,135.4966276
旅館業,ホテル　さくら館,大阪府大阪市北区中津１丁目１６番３３号401.501,34.71156611,135.4957976
